"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FBgn0039155",1087.08797833976,-4.59952339256532,0.152457235266183,-30.1692693333628,5.99485547528972e-200,4.99791100974904e-196
"FBgn0003360",6410.64597533113,-3.1641517220518,0.109383916392831,-28.9270290038653,5.45970264528304e-184,2.27587704768623e-180
"FBgn0026562",65125.9511518211,-2.46574167547365,0.0875425964115489,-28.1661931053756,1.51803815874657e-174,4.21862804315671e-171
"FBgn0025111",2194.66017045299,2.83189512205767,0.101434242641938,27.9185317334525,1.58960079015961e-171,3.31312544689018e-168
"FBgn0029167",5432.38764855756,-2.19090780745699,0.0975661268818204,-22.4556193576361,1.12774416886822e-111,1.88040062717087e-108
"FBgn0035085",928.391027943498,-2.58435865063525,0.121476333617119,-21.2745855401012,1.95230838066582e-100,2.71273249493516e-97
"FBgn0039827",390.945915049235,-4.10320518228618,0.193883570049619,-21.1632433900205,2.08383758697534e-99,2.48185056608763e-96
"FBgn0264475",955.60147347676,-2.52296718220724,0.133304365431535,-18.9263657948473,6.91730720962825e-80,7.20869877583384e-77
"FBgn0034736",330.519397561858,-3.51913752845098,0.187035580408121,-18.8153372784581,5.65474572702514e-79,5.23817945846762e-76
"FBgn0000071",468.542035717475,2.59606292985156,0.148519920405719,17.4795604708094,2.05073656820012e-68,1.70969907690844e-65
"FBgn0029896",709.475254793355,-2.39663597878,0.14078951069491,-17.0228305145082,5.56158566882249e-65,4.21517633827028e-62
"FBgn0038832",429.804140495779,-2.68439468466499,0.175845927045957,-15.2656062597539,1.29617531114197e-52,9.00517797415887e-50
"FBgn0037754",394.55985906919,-2.31460471561211,0.160067681546536,-14.4601626839906,2.16286021058286e-47,1.38705889043302e-44
"FBgn0264753",170.133027441364,-3.23786750189722,0.231407147921406,-13.9920807588749,1.74238535612519e-44,1.03759047957255e-41
"FBgn0035189",307.431129260941,2.89599157136016,0.207575964368105,13.9514783427649,3.0815110271613e-44,1.71270382889625e-41
"FBgn0034897",1342.11223779163,-1.94661576876326,0.140116148934497,-13.8928723317487,6.99720248829749e-44,3.64597982155851e-41
"FBgn0011260",291.770966286266,2.21188186634694,0.159861118452436,13.8362716823169,1.53988863730373e-43,7.5517950407066e-41
"FBgn0027279",4345.78517034566,-1.20353268594619,0.0900912942630996,-13.3590342528705,1.04916481514331e-40,4.85938170213875e-38
